#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Rastan Saga II (Japan);Rastan Saga II (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Rock-On (Japan);Rock-On (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Ryuukyuu (Japan);Ryuukyuu (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
S.C.I. - Special Criminal Investigation (Japan);S.C.I. - Special Criminal Investigation (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Sadakichi Seven - Hideyoshi no Ougon (Japan);Sadakichi Seven - Hideyoshi no Ougon (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Salamander (Japan);Salamander (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Samurai-Ghost (USA);Samurai-Ghost (USA);TurboGrafx16;;;;;;;;;;;;;;;;;;
Sekigahara (Japan);Sekigahara (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Sengoku Mahjong (Japan);Sengoku Mahjong (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Shanghai (Japan);Shanghai (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Shinobi (Japan);Shinobi (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Shiryou Sensen - War of the Dead (Japan);Shiryou Sensen - War of the Dead (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
